S.No,sentence,length
0,"a well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone .
",low
1,"if you 're looking for a tale of brits behaving badly  watch snatch again .
",medium
2,"there is no pleasure in watching a child suffer .
",medium
3,"in this case zero .
",low
4,"there are cheesy backdrops  ridiculous action sequences  and many tired jokes about men in heels .
",low
5,"the character of zigzag is not sufficiently developed to support a film constructed around him .
",medium
6,another in a long line of ultra-violent war movies  ,low
7,"this one is not quite what it could have been as a film  but the story and theme make up for it .
",medium
8,"it hates its characters .
",low
9,"the venezuelans say things like `` si  pretty much '' and `` por favor  go home '' when talking to americans .
",medium
10,it takes a really long  slow and dreary time to dope out what tuck,low
11,"everlasting is about .
",low
12,"what we have is a character faced with the possibility that her life is meaningless  vapid and devoid of substance  in a movie that is definitely meaningless  vapid and devoid of substance .
",medium
13,"adam sandler !
bursting through the constraints of its source  ",low
14,"this is one adapted - from-television movie that actually looks as if it belongs on the big screen .
",medium
15,"a domestic melodrama with weak dialogue and biopic cliches .
feels too formulaic and too familiar to produce the transgressive thrills of early underground work .
",low
16,spectacular in every sense of the word  ,low
17,"even if you don ' t know an orc from a uruk-hai .
",low
18,"twenty years after its first release  e.t.
",low
19,"an exercise in cynicism every bit as ugly as the shabby digital photography and muddy sound .
despite terrific special effects and funnier gags  ",low
20,harry potter and the chamber of secrets finds a way to make j.k.,low
21,"rowling 's marvelous series into a deadly bore .
",low
22,"meyjes focuses too much on max when he should be filling the screen with this tortured  dull artist and monster-in-the - making .
",medium
23,green ruins every single scene he 's in  and the film  ,low
24,"while it 's not completely wreaked  is seriously compromised by that .
despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth  as an older woman who seduces oscar  the film founders on its lack of empathy for the social milieu - rich new york intelligentsia - and its off
perhaps a better celebration of these unfairly dismissed heroes would be a film that is n't this painfully forced  false and fabricated .
",high
25,"did no one on the set have a sense of humor  or did they not have the nerve to speak up ?
",medium
26,"like shrek  spirit 's visual imagination reminds you of why animation is such a perfect medium for children  because of the way it allows the mind to enter and accept another world .
",medium
27,"a zippy 96 minutes of mediocre special effects  hoary dialogue  fluxing accents  and -- worst of all -- silly-looking morlocks .
with this masterful  flawless film  ( wang ) emerges in the front ranks of china 's now numerous  world-renowned filmmakers .
",medium
28,"when not wallowing in its characters ' frustrations  the movie is busy contriving false  sitcom-worthy solutions to their problems .
",medium
29,"i 'll stay with the stage versions  however  which bite cleaner  and deeper .
",medium
30,"maybe thomas wolfe was right : you ca n't go home again .
",medium
31,"i 'm happy to have seen it -- not as an alternate version  but as the ultimate exercise in viewing deleted scenes .
kapur fails to give his audience a single character worth rooting for ( or worth rooting against  for that matter ) .
",high
32,"ferrara 's best film in years .
",low
33,"mostly honest  this somber picture reveals itself slowly  intelligently  artfully .
though her fans will assuredly have their funny bones tickled  ",medium
34,"others will find their humor-seeking dollars best spent elsewhere .
",medium
35,the emperor 's club  ruthless in its own placid way  ,low
36,"finds one of our most conservative and hidebound movie-making traditions and gives it new texture  new relevance  new reality .
",medium
37,attal 's hang-ups surrounding infidelity are so old-fashioned and  dare i say  ,medium
38,outdated  ,low
